index,date,day,month,year,newspaper,location,page_link
1,1814-09-28,28,9,1814,Enquirer,"Richmond, Virginia",https://chroniclingamerica.loc.gov/lccn/sn84024736/1814-09-28/ed-1/seq-4/ocr/
2,1839-12-11,11,12,1839,North-Carolina Standard,"Raleigh, North Carolina",https://chroniclingamerica.loc.gov/lccn/sn85042147/1839-12-11/ed-1/seq-2/ocr/
3,1841-08-03,3,8,1841,Richmond Enquirer,"Richmond, Virginia",https://chroniclingamerica.loc.gov/lccn/sn84024735/1841-08-03/ed-1/seq-4/ocr/
4,1841-08-04,4,8,1841,North-Carolina Standard,"Raleigh, North Carolina",https://chroniclingamerica.loc.gov/lccn/sn85042147/1841-08-04/ed-1/seq-2/ocr/
5,1841-09-18,18,9,1841,Salt River Journal,"Bowling Green, Missouri",https://chroniclingamerica.loc.gov/lccn/sn83016924/1841-09-18/ed-1/seq-2/ocr/
6,1843-01-21,21,1,1843,Richmond Enquirer,"Richmond, Virginia",https://chroniclingamerica.loc.gov/lccn/sn84024735/1843-01-21/ed-1/seq-4/ocr/
7,1845-06-14,14,6,1845,Wisconsin Herald,"Lancaster, Wisconsin",https://chroniclingamerica.loc.gov/lccn/sn87082161/1845-06-14/ed-1/seq-2/ocr/
8,1845-09-12,12,9,1845,American Republican and Baltimore Daily Clipper,"Baltimore, Maryland",https://chroniclingamerica.loc.gov/lccn/sn83009567/1845-09-12/ed-1/seq-1/ocr/
9,1852-09-17,17,9,1852,Wheeling Daily Intelligencer,"Wheeling, West Virginia",https://chroniclingamerica.loc.gov/lccn/sn86092535/1852-09-17/ed-1/seq-2/ocr/
10,1854-03-25,25,3,1854,North Carolinian,"Fayetteville, North Carolina",https://chroniclingamerica.loc.gov/lccn/sn84020750/1854-03-25/ed-1/seq-1/ocr/
11,1857-07-02,2,7,1857,Pacific Commercial Advertiser,"Honolulu, Hawaii",https://chroniclingamerica.loc.gov/lccn/sn82015418/1857-07-02/ed-1/seq-1/ocr/
12,1857-08-13,13,8,1857,Yorkville Enquirer,"Yorkville, South Carolina",https://chroniclingamerica.loc.gov/lccn/sn84026925/1857-08-13/ed-1/seq-1/ocr/
13,1858-07-03,3,7,1858,Sunbury American,"Sunbury, Pennsylvania",https://chroniclingamerica.loc.gov/lccn/sn84026403/1858-07-03/ed-1/seq-1/ocr/
14,1858-07-10,10,7,1858,Saint Paul Weekly Minnesotian,"St Paul, Minnesota",https://chroniclingamerica.loc.gov/lccn/sn90059500/1858-07-10/ed-1/seq-1/ocr/
15,1860-07-11,11,7,1860,Ashland Union,"Ashland, Ohio",https://chroniclingamerica.loc.gov/lccn/sn83035173/1860-07-11/ed-1/seq-4/ocr/
16,1860-07-14,14,7,1860,Gazette and Sentinel,"Plaquemine, Louisiana",https://chroniclingamerica.loc.gov/lccn/sn86053832/1860-07-14/ed-1/seq-4/ocr/
17,1860-11-16,16,11,1860,Constitutional Union,"Des Ark, Arkansas",https://chroniclingamerica.loc.gov/lccn/sn87090585/1860-11-16/ed-1/seq-4/ocr/
18,1861-01-10,10,1,1861,Evansville Daily Journal,"Evansville, Indiana",https://chroniclingamerica.loc.gov/lccn/sn82015672/1861-01-10/ed-1/seq-1/ocr/
19,1861-03-16,16,3,1861,Emporia News,"Emporia, Kansas",https://chroniclingamerica.loc.gov/lccn/sn82016419/1861-03-16/ed-1/seq-1/ocr/
20,1861-04-23,23,4,1861,Worchester Daily Spy,"Worcester, Massachussets",https://chroniclingamerica.loc.gov/lccn/sn83021205/1861-04-23/ed-1/seq-1/ocr/
21,1861-04-25,25,4,1861,Alleghanian,"Ebensburg, Pennsylvania",https://chroniclingamerica.loc.gov/lccn/sn85054845/1861-04-25/ed-1/seq-1/ocr/
22,1861-04-26,26,4,1861,Lamoille Newsdealer,"Hyde Park, Vermont",https://chroniclingamerica.loc.gov/lccn/sn84023428/1861-04-26/ed-1/seq-4/ocr/
23,1861-04-26,26,4,1861,Bedford Inquirer,"Bedford, Pennsylvania",https://chroniclingamerica.loc.gov/lccn/sn83032006/1861-04-26/ed-1/seq-1/ocr/
24,1861-05-02,2,5,1861,St. Cloud Democrat,"Saint Cloud, Minnesota",https://chroniclingamerica.loc.gov/lccn/sn83016836/1861-05-02/ed-1/seq-1/ocr/
25,1861-05-02,2,5,1861,Civilian & Telegraph,"Cumberland, Maryland",https://chroniclingamerica.loc.gov/lccn/sn83016179/1861-05-02/ed-1/seq-1/ocr/
26,1861-05-04,4,5,1861,New-York Dispatch,"New York, New York",https://chroniclingamerica.loc.gov/lccn/sn83030364/1861-05-04/ed-1/seq-1/ocr/
27,1861-05-04,4,5,1861,Burlington Weekly Hawk-Eye,"Burlington, Iowa",https://chroniclingamerica.loc.gov/lccn/sn84027060/1861-05-04/ed-1/seq-3/ocr/
28,1861-05-07,7,5,1861,Buchanan County Guardian,"Independence, Iowa",https://chroniclingamerica.loc.gov/lccn/sn87058348/1861-05-07/ed-1/seq-1/ocr/
29,1861-05-08,8,5,1861,Spirit of Democracy,"Woodsfield, Ohio",https://chroniclingamerica.loc.gov/lccn/sn85038115/1861-05-08/ed-1/seq-4/ocr/
